Prior Session,Date (LA Time!),LA,NYC,Paris,,Hosts: Coffee Room 1,Hosts: Coffee Room 2,Hosts: Coffee Room 3,Hosts: Coffee Room 4,GRAD Student Coffee Room
1A,Thursday July 9,9:00 AM,12:00 PM,6:00 PM,,Csaba Szepesvari,VOLUNTEER?,,,VOLUNTEER?
1A,,,,,,Gergely Neu,VOLUNTEER?,,,VOLUNTEER?
1B,Thursday July 9,12:30 PM,3:30 PM,9:30 PM,,Dylan Foster,VOLUNTEER?,,,Bhuvesh Kumar
1B,,,,,,Akshay Krishnamurthy,VOLUNTEER?,,,Amartya Sanyal
1C,Thursday July 9,7:00 PM,10:00 PM,4:00 AM,,Rachel Cummings,,,,VOLUNTEER?
1C,,,,,,Jamie Morgenstern,,,,VOLUNTEER?
1E,Friday July 10,3:00 AM,6:00 AM,12:00 PM,,Peter Grunwald,,,,VOLUNTEER?
1E,,,,,,Tim van Erven,,,,VOLUNTEER?
,,,,,,,,,,
2A,Friday July 10,9:00 AM,12:00 PM,6:00 PM,,Prateek Jain,Manfred Warmuth,,,Blake Woodworth
2A,,,,,,Shipra Agrawal,Rafael Frongillo,,,VOLUNTEER?
2B,Friday July 10,12:30 PM,3:30 PM,9:30 PM,,Aravindan Vijayaraghavan,Csaba Szepesvari,,,Bhuvesh Kumar
2B,,,,,,Anindya De,Aaditya Ramdas,,,Amartya Sanyal
2C,Friday July 10,7:00 PM,10:00 PM,4:00 AM,,VOLUNTEER?,,,,Ayush Sekhari
2C,,,,,,VOLUNTEER?,,,,Kush Bhatia
2E,Saturday July 11,3:00 AM,6:00 AM,12:00 PM,,Sébastien Gerchinovitz,,,,VOLUNTEER?
2E,,,,,,Tor Lattimore,,,,VOLUNTEER?
,,,,,,,,,,
3A,Saturday July 11,9:00 AM,12:00 PM,6:00 PM,,Satyen Kale,Wouter Koolen,,,Julia Olkhovskaya
3A,,,,,,Alekh Agarwal,Aaditya Ramdas,,,VOLUNTEER?
3B,Saturday July 11,12:30 PM,3:30 PM,9:30 PM,,Gergely Neu,Dylan Foster,,,VOLUNTEER?
3B,,,,,,Tim van Erven,Karthik Sridharan,,,VOLUNTEER?
3C,Saturday July 11,7:00 PM,10:00 PM,4:00 AM,,Nika Haghtalab,,,,VOLUNTEER?
3C,,,,,,Rachel Cummings,,,,VOLUNTEER?
3E,Sunday July 12,3:00 AM,6:00 AM,12:00 PM,,Kfir Levy,,,,VOLUNTEER?
3E,,,,,,Tomer Koren,,,,VOLUNTEER?
,,,,,,,,,,
4A,Sunday July 12,8:00 AM,11:00 AM,5:00 PM,,Kamalika Chaudhuri,VOLUNTEER?,,,Ayush Sekhari
4A,,,,,,Praneeth Netrapalli,VOLUNTEER?,,,VOLUNTEER?
Biz meeting,Sunday July 12,10:00 AM,1:00 PM,7:00 PM,,Rafael Frongillo,VOLUNTEER?,,,Kush Bhatia
Biz meeting,,,,,,Jacob Abernethy,VOLUNTEER?,,,VOLUNTEER?
4B,Sunday July 12,12:30 PM,3:30 PM,9:30 PM,,Nika Haghtalab,VOLUNTEER?,,,VOLUNTEER?
4B,,,,,,Karthik Sridharan,VOLUNTEER?,,,VOLUNTEER?
4C,Sunday July 12,7:00 PM,10:00 PM,4:00 AM,,Pranjal Awasthi,,,,VOLUNTEER?
4C,,,,,,Jacob Abernethy,,,,VOLUNTEER?
4E,Monday July 13,3:00 AM,6:00 AM,12:00 PM,,Gergely Neu,,,,VOLUNTEER?
4E,,,,,,Peter Grunwald,,,,VOLUNTEER?
