SlidesLive link,Title,unique ID,Organizer track name,SlidesLive link,embed code
slideslive.com/38930974,Locally Private Hypothesis Selection,5,Long (15 minutes),38930974,"<div id=""presentation-embed-38930974""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930974', {
        presentationId: '38930974',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930977,Differentially Private Mean Estimation of Heavy-Tailed Distributions,6,Long (15 minutes),38930977,"<div id=""presentation-embed-38930977""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930977', {
        presentationId: '38930977',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930978,An O(m/eps^3.5)-Cost Algorithm for Semidefinite Programs with Diagonal Constraints,12,Long (15 minutes),38930978,"<div id=""presentation-embed-38930978""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930978', {
        presentationId: '38930978',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930979,Adaptive Submodular Maximization under Stochastic Item Costs,25,Long (15 minutes),38930979,"<div id=""presentation-embed-38930979""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930979', {
        presentationId: '38930979',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930980,Gradient descent algorithms for Bures-Wasserstein barycenters,28,Long (15 minutes),38930980,"<div id=""presentation-embed-38930980""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930980', {
        presentationId: '38930980',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930981,On the gradient complexity of linear regression,30,Long (15 minutes),38930981,"<div id=""presentation-embed-38930981""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930981', {
        presentationId: '38930981',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930982,Improper Learning for Non-Stochastic Control,31,Long (15 minutes),38930982,"<div id=""presentation-embed-38930982""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930982', {
        presentationId: '38930982',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930983,Root-n-Regret for Learning in Markov Decision Processes with Function Approximation and Low Bellman Rank,33,Long (15 minutes),38930983,"<div id=""presentation-embed-38930983""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930983', {
        presentationId: '38930983',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930984,No-Regret Prediction in Marginally Stable Systems,34,Long (15 minutes),38930984,"<div id=""presentation-embed-38930984""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930984', {
        presentationId: '38930984',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38930985,Halpern Iteration for Near-Optimal and Parameter-Free Monotone Inclusion and Strong Solutions to Variational Inequalities,35,Long (15 minutes),38930985,"<div id=""presentation-embed-38930985""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38930985', {
        presentationId: '38930985',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
